Amount(in rupees),Status,Transaction,Furnishing,facing,overlooking,Ownership,price_clean,area_sqft,floor_num,bathroom_num,balcony_num,car_parking_num,location_grouped,price_per_sqft
40 Lac ,Ready to Move,Resale,Unfurnished,South,Main Road,Freehold,4000000.0,525.0,1.0,1.0,0.0,1.0,thane,7619.047619047619
35 Lac ,Ready to Move,Resale,Unfurnished,,,,3500000.0,585.0,3.0,1.0,0.0,0.0,thane,5982.9059829059825
65 Lac ,Ready to Move,New Property,Unfurnished,East,"Garden/Park, Main Road",Freehold,6500000.0,620.0,23.0,2.0,2.0,1.0,thane,10483.870967741936
42.5 Lac ,Ready to Move,Resale,Semi-Furnished,,,,4250000.0,580.0,4.0,2.0,0.0,0.0,thane,7327.586206896552
51 Lac ,Ready to Move,Resale,Semi-Furnished,East,Garden/Park,Freehold,5100000.0,434.0,5.0,2.0,0.0,1.0,thane,11751.15207373272
1.55 Cr ,Ready to Move,Resale,Unfurnished,East,Garden/Park,Freehold,15500000.0,769.0,11.0,2.0,0.0,1.0,thane,20156.046814044214
2.79 Cr ,Ready to Move,New Property,Unfurnished,East,"Garden/Park, Main Road",Freehold,27900000.0,1260.0,11.0,3.0,3.0,1.0,thane,22142.85714285714
71 Lac ,Ready to Move,New Property,Semi-Furnished,North - East,"Garden/Park, Main Road",Freehold,7100000.0,630.0,21.0,2.0,1.0,1.0,thane,11269.84126984127
1.65 Cr ,Ready to Move,Resale,Semi-Furnished,East,Main Road,Co-operative Society,16500000.0,900.0,8.0,3.0,2.0,1.0,thane,18333.333333333332
1.30 Cr ,Ready to Move,Resale,Semi-Furnished,East,"Pool, Garden/Park, Main Road",Freehold,13000000.0,455.0,16.0,2.0,1.0,2.0,thane,28571.428571428572
1.61 Cr ,Ready to Move,Resale,Furnished,East,"Pool, Garden/Park, Main Road",Freehold,16100000.000000002,559.0,26.0,2.0,0.0,0.0,thane,28801.431127012525
56 Lac ,Ready to Move,Resale,Unfurnished,East,Main Road,Freehold,5600000.0,263.0,25.0,1.0,1.0,0.0,thane,21292.77566539924
7.04 Cr ,Ready to Move,Resale,Unfurnished,East,"Garden/Park, Pool, Main Road",Freehold,70400000.0,2200.0,7.0,5.0,1.0,0.0,thane,32000.0
19.5 Lac ,Ready to Move,Resale,Unfurnished,,,,1950000.0,280.0,1.0,1.0,0.0,0.0,thane,6964.285714285715
32 Lac ,Ready to Move,Resale,Semi-Furnished,East,Main Road,Co-operative Society,3200000.0,375.0,3.0,1.0,0.0,0.0,thane,8533.333333333334
50 Lac ,Ready to Move,Resale,Furnished,,,,5000000.0,555.0,5.0,2.0,0.0,1.0,thane,9009.009009009009
1 Cr ,Ready to Move,Resale,Semi-Furnished,,,,10000000.0,900.0,3.0,2.0,0.0,0.0,thane,11111.111111111111
1.85 Cr ,Ready to Move,New Property,Unfurnished,East,"Garden/Park, Main Road",Freehold,18500000.0,758.0,9.0,2.0,2.0,1.0,thane,24406.332453825857
52 Lac ,Ready to Move,Resale,Semi-Furnished,North,Garden/Park,Freehold,5200000.0,540.0,7.0,1.0,2.0,0.0,thane,9629.62962962963
38 Lac ,Ready to Move,Resale,Semi-Furnished,West,Main Road,Freehold,3800000.0,290.0,3.0,1.0,0.0,1.0,thane,13103.448275862069
1.80 Cr ,Ready to Move,New Property,Unfurnished,East,"Garden/Park, Main Road",Freehold,18000000.0,758.0,11.0,2.0,2.0,1.0,thane,23746.701846965698
61 Lac ,Ready to Move,Resale,Semi-Furnished,,,,6100000.0,630.0,8.0,1.0,0.0,0.0,thane,9682.539682539682
